problem,ablation,beta_update,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,seed,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,eval_seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9239000000000002,0.9300000000000002,395.1663456390379,70
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9239000000000002,0.9300000000000002,435.4451809039456,83
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,8,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,44,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9239000000000002,0.9300000000000002,1633.2675728459726,213
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9237000000000002,0.9300000000000002,501.7414414079976,101
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,2,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,43,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9236,0.9300000000000002,450.19938527297927,86
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9236,0.9300000000000002,454.8048777470249,88
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.01,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9235000000000002,0.9300000000000002,254.0125373999472,10
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,32,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,45,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9235,0.9300000000000002,6208.3508515370195,240
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,1,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,43,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9234000000000002,0.9300000000000002,534.1129990339978,106
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,46,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9232000000000002,0.9300000000000002,258.93248525599483,12
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9232000000000002,0.9300000000000002,511.7889012179803,103
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,1,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9232000000000002,0.9300000000000002,559.617897788994,110
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9230000000000002,0.9300000000000002,308.1795506700292,23
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9230000000000002,0.9300000000000002,464.4432717350428,91
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,8,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9228000000000004,0.9300000000000002,1667.8319084299728,214
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.1,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9225000000000004,0.9300000000000002,495.40086167503614,99
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,32,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,44,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9225000000000001,0.9300000000000002,5613.544320688001,238
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,64,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,44,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9225,0.9300000000000002,6386.38133926905,245
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9220000000000002,0.9300000000000002,481.2215073989937,96
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9218000000000002,0.9300000000000002,482.7892955919961,97
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9217000000000002,0.9300000000000002,437.2083587099914,85
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9211000000000004,0.9300000000000002,475.0138781899586,94
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9209000000000002,0.9300000000000002,409.7654234190122,77
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9205000000000002,0.9300000000000002,365.7916650440311,47
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9204,0.9300000000000002,498.5318928639754,100
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,1.0,1.0,0.9199000000000004,0.9300000000000002,333.3204679749906,36
deterministic,adam_reinforce_samples,fogas_full,3000,0.001,0.0001,0.03,1e-07,0.001,10,adam,reinforce,128,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,44,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.9114,0.9300000000000002,10082.042548585043,258
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.03,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.01,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.9031,0.9300000000000002,257.1069351930055,11
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.8857,0.9300000000000002,413.8398306290037,79
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.8856999999999999,0.9300000000000002,477.2341067530215,95
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.8855000000000001,0.9300000000000002,466.1672691529966,93
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.8854000000000001,0.9300000000000002,466.08841307397233,92
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.8852000000000001,0.9300000000000002,370.9148983340128,52
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.99,1.0,0.885,0.9300000000000002,461.05265322997,90
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.96,1.0,0.8499000000000001,0.9300000000000002,396.1985849830089,71
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.94,1.0,0.8194,0.9300000000000002,325.24477375199785,34
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.01,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.01,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.75,1.0,0.5981,0.9300000000000002,277.50456794095226,17
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.43,1.0,0.2536999999999999,0.9300000000000002,427.3520227850531,82
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,1e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.42,1.0,0.2431999999999999,0.9300000000000002,423.8996983919642,80
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-06,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.41,1.0,0.2325999999999999,0.9300000000000002,378.7016277970397,62
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,3e-05,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.4,1.0,0.2222999999999999,0.9300000000000002,456.6534619369777,89
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.4,1.0,0.2219,0.9300000000000002,409.8066194890416,78
deterministic,npg_exact_alpha_fisher,fogas_full,3000,0.003,0.0001,0.03,1e-07,0.001,10,npg,exact,4,0.0003,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,42,reg_fixed,adam,warm,False,100,20,10000,cpu,ok,,0.37,1.0,0.1897999999999999,0.9300000000000002,366.8819220669684,49
